opportunity_id,client_id,opportunity_name,deal_type,sector,region,owner_banker_id,stage,target_announcement_quarter,estimated_deal_value_usd_mm,expected_fee_usd_mm,probability,weighted_fee_usd_mm,next_step,delay_reason
P0013,C008,Meridian Hospitals Group potential convertible offering,ECM,Healthcare,Europe,B004,Execution,2026Q3,1295.0,34.04,0.72,24.51,Prepare financing readout,
P0014,C011,Sunrise Medical Devices potential green bond,DCM,Healthcare,Latin America,B006,Lead,2026Q4,1297.9,7.92,0.2,1.58,Prepare financing readout,
P0015,C008,Meridian Hospitals Group potential strategic merger,M&A Advisory,Healthcare,Europe,B004,Mandated,2026Q4,3325.4,34.12,0.6,20.47,Prepare financing readout,
P0016,C011,Sunrise Medical Devices potential minority stake sale,M&A Advisory,Healthcare,Latin America,B006,Execution,2026Q3,3241.4,32.16,0.78,25.08,Coordinate legal and accounting workstreams,
P0017,C011,Sunrise Medical Devices potential working capital plan,Restructuring,Healthcare,Latin America,B006,Diligence,2026Q2,3295.1,40.42,0.71,28.7,Schedule CEO call,
P0018,C011,Sunrise Medical Devices potential carve-out,M&A Advisory,Healthcare,Latin America,B006,Diligence,2026Q4,826.4,8.94,0.62,5.54,Update valuation materials,
P0019,C011,Sunrise Medical Devices potential growth equity raise,ECM,Healthcare,Latin America,B006,Lead,2026Q3,841.7,17.51,0.22,3.85,Send revised pitch,
P0020,C007,Aster Biologics potential senior notes,DCM,Healthcare,North America,B004,Mandated,2026Q2,2350.3,13.15,0.5,6.58,Confirm diligence timeline,
P0021,C010,Veridian Pharma potential liability management,DCM,Healthcare,North America,B004,Pitch Sent,2026Q3,3502.5,22.03,0.22,4.85,Schedule CEO call,
P0022,C007,Aster Biologics potential minority stake sale,M&A Advisory,Healthcare,North America,B004,Diligence,2026Q2,3951.4,30.73,0.67,20.59,Schedule CEO call,
P0023,C014,Apex Aerospace Components potential minority stake sale,M&A Advisory,Industrials,North America,B009,Diligence,2026Q4,2155.3,19.79,0.7,13.85,Send revised pitch,
P0024,C015,Kanto Precision Tools potential acquisition,M&A Advisory,Industrials,Asia-Pacific,B007,Diligence,2026Q4,642.3,7.03,0.69,4.85,Update valuation materials,
P0025,C016,Sierra Grid Equipment potential minority stake sale,M&A Advisory,Industrials,Latin America,B008,Lead,2026Q2,2480.7,28.31,0.24,6.79,Coordinate legal and accounting workstreams,
P0026,C016,Sierra Grid Equipment potential acquisition,M&A Advisory,Industrials,Latin America,B008,Pitch Sent,2026Q3,1271.2,10.94,0.25,2.73,Schedule CEO call,
P0027,C015,Kanto Precision Tools potential follow-on offering,ECM,Industrials,Asia-Pacific,B007,Execution,2026Q2,857.9,16.95,0.83,14.07,Send revised pitch,
P0028,C016,Sierra Grid Equipment potential refinancing,DCM,Industrials,Latin America,B008,Execution,2026Q2,1436.7,7.27,0.75,5.45,Schedule CEO call,
P0029,C013,Baltic Rail Systems potential convertible offering,ECM,Industrials,Europe,B007,Pitch Sent,2026Q4,1949.5,47.81,0.32,15.3,Update valuation materials,
P0030,C014,Apex Aerospace Components potential liability management,DCM,Industrials,North America,B009,Execution,2026Q3,1136.5,5.28,0.78,4.12,Coordinate legal and accounting workstreams,
P0031,C018,Luma Apparel Group potential growth equity raise,ECM,Consumer & Retail,Europe,B005,Mandated,2026Q3,2271.5,57.84,0.55,31.81,Prepare financing readout,
P0032,C020,Boreal Beauty Holdings potential strategic merger,M&A Advisory,Consumer & Retail,Europe,B005,Pitch Sent,2026Q4,1241.7,13.53,0.24,3.25,Coordinate legal and accounting workstreams,
P0033,C018,Luma Apparel Group potential refinancing,DCM,Consumer & Retail,Europe,B005,Execution,2026Q3,1426.0,6.88,0.79,5.44,Prepare financing readout,
P0034,C018,Luma Apparel Group potential sale process,M&A Advisory,Consumer & Retail,Europe,B005,Lead,2026Q3,403.4,4.19,0.17,0.71,Schedule CEO call,
P0035,C019,FreshCart Markets potential carve-out,M&A Advisory,Consumer & Retail,Asia-Pacific,B006,Diligence,2026Q2,614.0,6.48,0.61,3.95,Update valuation materials,
P0036,C020,Boreal Beauty Holdings potential acquisition,M&A Advisory,Consumer & Retail,Europe,B005,Execution,2026Q2,666.0,5.5,0.76,4.18,Coordinate legal and accounting workstreams,
P0037,C020,Boreal Beauty Holdings potential liability restructuring,Restructuring,Consumer & Retail,Europe,B005,Diligence,2026Q3,2213.3,25.78,0.69,17.79,Send revised pitch,
P0038,C024,Aquila Solar Storage potential block trade,ECM,Energy,Asia-Pacific,B008,Pitch Sent,2026Q4,4649.2,108.84,0.25,27.21,Prepare financing readout,
P0039,C022,Andes Lithium Partners potential carve-out,M&A Advisory,Energy,Latin America,B008,Mandated,2026Q2,3983.9,30.14,0.56,16.88,Confirm diligence timeline,
P0040,C024,Aquila Solar Storage potential strategic merger,M&A Advisory,Energy,Asia-Pacific,B008,Pitch Sent,2026Q4,4416.8,41.95,0.25,10.49,Prepare financing readout,
P0041,C024,Aquila Solar Storage potential amend-and-extend,Restructuring,Energy,Asia-Pacific,B008,Diligence,2026Q2,3944.0,42.16,0.67,28.25,Coordinate legal and accounting workstreams,
P0042,C024,Aquila Solar Storage potential acquisition,M&A Advisory,Energy,Asia-Pacific,B008,Execution,2026Q2,2962.5,32.16,0.84,27.01,Coordinate legal and accounting workstreams,
P0043,C021,Orion Renewables potential refinancing,DCM,Energy,North America,B008,Mandated,2026Q2,819.4,3.98,0.59,2.35,Confirm diligence timeline,
P0044,C024,Aquila Solar Storage potential acquisition,M&A Advisory,Energy,Asia-Pacific,B008,Diligence,2026Q4,4789.9,48.56,0.69,33.51,Schedule CEO call,
P0045,C024,Aquila Solar Storage potential minority stake sale,M&A Advisory,Energy,Asia-Pacific,B008,Mandated,2026Q3,580.6,6.24,0.52,3.24,Update valuation materials,
P0046,C021,Orion Renewables potential liability restructuring,Restructuring,Energy,North America,B008,Mandated,2026Q4,2974.3,38.41,0.52,19.97,Send revised pitch,
P0047,C025,Sterling Regional Bank potential acquisition,M&A Advisory,Financial Institutions,North America,B011,Mandated,2026Q4,1129.2,11.56,0.56,6.47,Coordinate legal and accounting workstreams,
P0048,C030,Marlin Exchange Group potential refinancing,DCM,Financial Institutions,Europe,B010,Lead,2026Q4,1992.2,12.01,0.17,2.04,Schedule CEO call,
P0049,C028,Pampa Asset Management potential refinancing,DCM,Financial Institutions,Latin America,B010,Diligence,2026Q2,3437.0,23.05,0.65,14.98,Update valuation materials,
P0050,C030,Marlin Exchange Group potential liability management,DCM,Financial Institutions,Europe,B010,Mandated,2026Q2,2711.3,14.03,0.5,7.01,Confirm diligence timeline,
P0051,C030,Marlin Exchange Group potential minority stake sale,M&A Advisory,Financial Institutions,Europe,B010,Execution,2026Q2,2375.3,24.96,0.76,18.97,Schedule CEO call,
P0052,C027,Lotus Digital Bank potential minority stake sale,M&A Advisory,Financial Institutions,Asia-Pacific,B010,Pitch Sent,2026Q3,2685.8,25.95,0.32,8.3,Coordinate legal and accounting workstreams,
P0053,C026,Crescent Insurance Holdings potential green bond,DCM,Financial Institutions,Europe,B011,Diligence,2026Q4,3711.4,17.18,0.62,10.65,Update valuation materials,
P0054,C025,Sterling Regional Bank potential strategic merger,M&A Advisory,Financial Institutions,North America,B011,Diligence,2026Q3,3692.8,32.52,0.72,23.41,Send revised pitch,
